#j  nj  gj  Ej (supercell)  Ej (unit cell)
1   0   1   -104.21859      -52.109295  #Pure iodine
2   1   2   -104.7446       -52.37229
3   1   4   -104.7561       -52.378065
4   2   1   -.10527595E+03  -52.637975
5   2   8   -.10527176E+03  -52.63588
6   2   2   -.10528457E+03  -52.642285
7   2   2   -.10532670E+03  -52.66335
8   2   2   -.10533867E+03  -52.669335
9   3   4   -1.06E+002      -52.90013
10  3   4   -1.06E+002      -52.91336
11  3   4   -1.06E+002      -52.930145
12  3   4   -1.06E+002      -52.93716
13  3   4   -1.06E+002      -52.97063
14  4   2   -106.3588       -53.17942
15  4   2   -106.4008       -53.20042
16  4   2   -106.4061       -53.203055
17  4   8   -106.4842       -53.24209
18  4   1   -106.6339       -53.316935
19  5   4   -107.025        -53.5125
20  5   2   -107.1879       -53.593955
21  6   1   -107.74176      -53.87088   #Pure bromine 
